file,origin,attempt_id,sentence_id,duration_s,rms_dbfs,clip_ratio,active_ratio,sec_per_syl,flags,flags_dup_of,verdict
att_20260705_173501_387264_s23.mp3,synth,363,23,2.42,-19.1,0.0,0.58,0.302,,,pass
att_20260705_173503_922446_s23.mp3,synth,364,23,2.28,-18.4,0.0,0.64,0.285,,,pass
att_20260705_173506_635052_s23.mp3,synth,365,23,2.28,-18.9,0.0,0.64,0.285,,,pass
att_20260705_173509_488382_s24.mp3,synth,366,24,2.45,-20.2,0.0,0.58,0.35,,,pass
att_20260705_173512_098854_s24.mp3,synth,367,24,2.16,-20.4,0.0,0.6,0.309,,,pass
att_20260705_173514_593335_s24.mp3,synth,368,24,2.21,-19.8,0.0,0.55,0.316,,,pass
att_20260705_173517_119378_s25.mp3,synth,369,25,2.42,-19.3,0.0,0.58,0.302,,,pass
att_20260705_173519_943946_s25.mp3,synth,370,25,2.83,-19.3,0.0,0.64,0.354,,,pass
att_20260705_173522_705608_s25.mp3,synth,371,25,2.71,-19.4,0.0,0.62,0.339,,,pass
att_20260705_173526_093476_s26.mp3,synth,372,26,2.09,-20.9,0.0,0.5,0.418,,,pass
att_20260705_173528_885557_s26.mp3,synth,373,26,1.99,-20.9,0.0,0.56,0.398,,,pass
att_20260705_173531_615207_s26.mp3,synth,374,26,2.11,-21.0,0.0,0.5,0.422,,,pass
att_20260705_173534_523485_s27.mp3,synth,375,27,2.3,-19.9,0.0,0.64,0.329,,,pass
att_20260705_173537_156582_s27.mp3,synth,376,27,2.3,-20.0,0.0,0.64,0.329,,,pass
att_20260705_173539_664160_s27.mp3,synth,377,27,2.54,-19.6,0.0,0.58,0.363,,,pass
att_20260705_173542_166470_s28.mp3,synth,378,28,2.4,-19.2,0.0,0.58,0.343,,,pass
att_20260705_173544_866901_s28.mp3,synth,379,28,2.52,-19.1,0.0,0.58,0.36,,,pass
att_20260705_173547_562717_s28.mp3,synth,380,28,2.4,-19.0,0.0,0.58,0.343,,,pass
att_20260705_173550_507403_s29.mp3,synth,381,29,2.35,-20.9,0.0,0.55,0.336,,,pass
att_20260705_173552_889414_s29.mp3,synth,382,29,2.4,-20.8,0.0,0.5,0.343,,,pass
att_20260705_173555_430645_s29.mp3,synth,383,29,2.57,-20.6,0.0,0.58,0.367,,,pass
att_20260705_173558_000278_s30.mp3,synth,384,30,2.38,-19.5,0.0,0.55,0.34,,,pass
att_20260705_173600_897076_s30.mp3,synth,385,30,2.4,-19.7,0.0,0.58,0.343,,,pass
att_20260705_173603_667795_s30.mp3,synth,386,30,2.09,-19.2,0.0,0.6,0.299,,,pass
att_20260705_173606_397071_s31.mp3,synth,387,31,2.04,-18.4,0.0,0.5,0.291,,,pass
att_20260705_173609_032430_s31.mp3,synth,388,31,2.45,-18.4,0.0,0.58,0.35,,,pass
att_20260705_173611_489631_s31.mp3,synth,389,31,2.38,-18.4,0.0,0.55,0.34,,,pass
att_20260705_173614_065569_s32.mp3,synth,390,32,2.26,-20.1,0.0,0.55,0.323,,,pass
att_20260705_173616_645234_s32.mp3,synth,391,32,2.45,-20.4,0.0,0.58,0.35,,,pass
att_20260705_173619_333723_s32.mp3,synth,392,32,2.52,-19.6,0.0,0.58,0.36,,,pass
att_20260705_173622_150976_s33.mp3,synth,393,33,2.74,-20.5,0.0,0.62,0.304,,,pass
att_20260705_173624_773324_s33.mp3,synth,394,33,2.54,-19.6,0.0,0.67,0.282,,,pass
att_20260705_173627_269732_s33.mp3,synth,395,33,2.59,-20.6,0.0,0.67,0.288,,,pass
att_20260705_173630_254867_s1.mp3,synth,396,1,2.98,-20.9,0.0,0.57,0.331,,,pass
att_20260705_173632_681704_s1.mp3,synth,397,1,2.78,-20.7,0.0,0.62,0.309,,,pass
att_20260705_173635_166856_s1.mp3,synth,398,1,3.0,-21.0,0.0,0.53,0.333,,,pass
att_20260705_173638_103229_s2.mp3,synth,399,2,2.52,-21.1,0.0,0.42,0.504,,,pass
att_20260705_173640_559578_s2.mp3,synth,400,2,2.57,-21.8,0.0,0.42,0.514,,,pass
att_20260705_173642_777956_s2.mp3,synth,401,2,2.26,-21.2,0.0,0.45,0.452,,,pass
att_20260705_173645_218027_s3.mp3,synth,402,3,2.23,-20.9,0.0,0.55,0.372,,,pass
att_20260705_173647_862684_s3.mp3,synth,403,3,2.21,-22.4,0.0,0.45,0.368,,,pass
att_20260705_173650_688986_s3.mp3,synth,404,3,2.33,-22.5,0.0,0.55,0.388,,,pass
att_20260705_173653_360085_s4.mp3,synth,405,4,2.4,-21.7,0.0,0.5,0.4,,,pass
att_20260705_173655_911446_s4.mp3,synth,406,4,2.83,-21.4,0.0,0.43,0.472,,,pass
att_20260705_173658_816627_s4.mp3,synth,407,4,2.5,-21.9,0.0,0.42,0.417,,,pass
att_20260705_173701_466436_s5.mp3,synth,408,5,2.52,-22.2,0.0,0.42,0.504,,,pass
att_20260705_173704_235537_s5.mp3,synth,409,5,2.42,-22.4,0.0,0.33,0.484,,,pass
att_20260705_173707_196276_s5.mp3,synth,410,5,2.18,-22.6,0.0,0.5,0.436,,,pass
att_20260705_173710_127470_s6.mp3,synth,411,6,2.62,-22.6,0.0,0.38,0.524,,,pass
att_20260705_173712_553895_s6.mp3,synth,412,6,2.21,-22.1,0.0,0.45,0.442,,,pass
att_20260705_173714_866447_s6.mp3,synth,413,6,2.59,-22.7,0.0,0.42,0.518,,,pass
att_20260705_173717_387636_s7.mp3,synth,414,7,2.57,-21.8,0.0,0.5,0.367,duplicate_exact,att_20260704_224207_429798_s7.mp3,fail
att_20260705_173720_112496_s7.mp3,synth,415,7,2.66,-22.0,0.0,0.46,0.38,,,pass
att_20260705_173722_908333_s7.mp3,synth,416,7,2.86,-21.9,0.0,0.43,0.409,,,pass
att_20260705_173725_496414_s8.mp3,synth,417,8,2.35,-22.5,0.0,0.55,0.392,,,pass
att_20260705_173728_104593_s8.mp3,synth,418,8,2.74,-22.5,0.0,0.46,0.457,,,pass
att_20260705_173730_716789_s8.mp3,synth,419,8,2.45,-23.3,0.0,0.42,0.408,,,pass
att_20260705_173733_363288_s9.mp3,synth,420,9,2.86,-21.2,0.0,0.5,0.409,,,pass
att_20260705_173736_046286_s9.mp3,synth,421,9,2.45,-21.1,0.0,0.5,0.35,,,pass
att_20260705_173738_523070_s9.mp3,synth,422,9,2.54,-21.9,0.0,0.5,0.363,,,pass
att_20260705_173741_159070_s10.mp3,synth,423,10,2.69,-24.6,0.0,0.38,0.538,,,pass
att_20260705_173743_686240_s10.mp3,synth,424,10,2.52,-25.1,0.0,0.42,0.504,,,pass
att_20260705_173746_414914_s10.mp3,synth,425,10,2.66,-25.2,0.0,0.38,0.532,,,pass
att_20260705_173749_187207_s11.mp3,synth,426,11,3.17,-22.1,0.0,0.47,0.396,,,pass
att_20260705_173751_804410_s11.mp3,synth,427,11,2.95,-21.2,0.0,0.57,0.369,,,pass
att_20260705_173754_426240_s11.mp3,synth,428,11,2.9,-21.7,0.0,0.5,0.362,,,pass
att_20260705_173757_315737_s12.mp3,synth,429,12,3.1,-20.1,0.0,0.53,0.344,,,pass
att_20260705_173759_908926_s12.mp3,synth,430,12,2.83,-20.5,0.0,0.5,0.314,,,pass
att_20260705_173802_383950_s12.mp3,synth,431,12,2.98,-20.5,0.0,0.5,0.331,,,pass
att_20260705_173805_129574_s13.mp3,synth,432,13,3.07,-22.0,0.0,0.47,0.439,,,pass
att_20260705_173807_755149_s13.mp3,synth,433,13,3.02,-22.2,0.0,0.47,0.431,,,pass
att_20260705_173810_463861_s13.mp3,synth,434,13,3.0,-21.8,0.0,0.47,0.429,,,pass
att_20260705_173813_040453_s14.mp3,synth,435,14,2.95,-20.8,0.0,0.57,0.295,,,pass
att_20260705_173815_695539_s14.mp3,synth,436,14,3.29,-21.2,0.0,0.5,0.329,,,pass
